j,ID_unique,POINT_X,POINT_Y,Y,LandPrice,Grid_supply,Actual_required_MW,Available_intake_MW,Chosen_BatTypes
0,1,159582.4529,384981.8982,1.0,186.7854004,111,121.8170066,109,0
1,5,163559.2399,381151.1635,1.0,329.0,207,197.6820818,190,0
4,12,159664.359,384622.0184,1.0,266.7861938,111,121.8170066,109,0
5,18,162758.657,387929.8815,1.0,310.9631653,207,197.6820818,190,0
9,30,163603.6352,383195.3422,1.0,289.643158,207,197.6820818,190,0
10,33,161751.7677,385593.9844,1.0,263.9170837,207,197.6820818,190,0
11,36,159403.5542,381490.7612,1.0,280.8399963,77,110.1706551,64,0
14,43,159733.7683,382068.874,1.0,240.4869232,77,110.1706551,64,0
16,48,163699.9264,383641.215,1.0,281.53125,207,197.6820818,190,0
18,55,163225.3836,383319.8454,1.0,251.4498901,207,197.6820818,190,0
19,59,162938.3608,383089.1632,1.0,309.8599548,207,197.6820818,190,0
21,70,158127.57,383303.1093,1.0,308.4058533,77,110.1706551,64,0
22,71,161756.253,385422.8974,1.0,251.5554199,207,197.6820818,190,0
25,90,160270.4635,387127.7549,1.0,258.9400024,111,121.8170066,109,0
30,103,159403.2866,383382.6183,1.0,331.7999878,77,110.1706551,64,0
31,105,159482.3674,381081.0815,1.0,290.8999939,77,110.1706551,64,0
34,108,157869.115,380998.9188,1.0,263.0502319,77,110.1706551,64,0
36,118,160475.3305,382364.2921,1.0,281.1400146,77,110.1706551,64,0
39,124,163105.6967,382928.4199,1.0,336.5397034,207,197.6820818,190,0
40,125,160952.1306,386875.2278,1.0,304.6843262,111,121.8170066,109,0
42,128,159841.0249,385376.1402,1.0,306.9666138,111,121.8170066,109,0
43,130,159312.2133,383769.9627,1.0,334.5487061,77,110.1706551,64,0
45,136,159849.4765,381785.1087,1.0,234.1065674,77,110.1706551,64,0
46,137,161596.9327,385622.3577,1.0,278.0,207,197.6820818,190,0
47,139,157973.7371,380940.8995,1.0,312.8260803,77,110.1706551,64,0
50,150,159412.1603,381304.5453,1.0,307.6600037,77,110.1706551,64,0
51,152,158538.9366,381047.2815,1.0,346.0757141,77,110.1706551,64,0
53,157,160395.0559,384487.2325,1.0,325.2000122,111,121.8170066,109,0
54,158,159029.7678,384311.9101,1.0,337.2799988,77,110.1706551,64,0
57,162,161373.7638,385360.6353,1.0,253.1761017,207,197.6820818,190,0
58,163,159151.1203,384175.828,1.0,289.4707947,77,110.1706551,64,0
62,177,160031.359,387133.2743,1.0,223.0939026,111,121.8170066,109,0
63,184,159207.7982,383387.9401,1.0,340.6362305,77,110.1706551,64,0
68,196,164051.7099,384479.54,1.0,294.934845,207,197.6820818,190,0
71,199,161409.0996,385471.4101,1.0,245.3084717,207,197.6820818,190,0
72,201,163004.5235,382013.5025,1.0,293.1000061,207,197.6820818,190,0
74,204,162157.7947,381990.5792,1.0,352.2501526,207,197.6820818,190,0
76,211,163498.8244,381350.7959,1.0,321.4292908,207,197.6820818,190,0
78,219,162190.18,387007.7711,1.0,292.1773376,207,197.6820818,190,0
79,222,160674.9343,383272.1975,1.0,248.7089081,77,110.1706551,64,0
80,224,161432.9237,387621.8297,1.0,333.0,207,197.6820818,190,0
81,226,162292.5129,382025.6912,1.0,346.3129883,207,197.6820818,190,0
82,227,157748.8412,383645.2492,1.0,330.0177307,77,110.1706551,64,0
83,232,161501.1685,386148.8273,1.0,325.4165955,207,197.6820818,190,0
85,239,159222.2693,381596.6592,1.0,253.8051758,77,110.1706551,64,0
86,241,158053.4074,381011.9572,1.0,262.1062622,77,110.1706551,64,0
88,243,160047.9602,382582.8862,1.0,343.8714905,77,110.1706551,64,0
89,246,160753.9365,387109.5021,1.0,322.9061279,111,121.8170066,109,0
90,254,163544.6391,383520.3523,1.0,283.9869995,207,197.6820818,190,0
91,255,158200.2413,383601.3999,1.0,304.6000061,77,110.1706551,64,0
92,262,161181.125,383991.635,1.0,321.2835083,207,197.6820818,190,0
93,272,160481.0928,382062.5052,1.0,253.8020325,77,110.1706551,64,0
94,274,161540.3074,384184.4795,1.0,366.2505188,207,197.6820818,190,0
95,275,159764.3982,380937.2976,1.0,285.9724121,77,110.1706551,64,0
96,277,160640.4605,383949.0518,1.0,340.0,111,121.8170066,109,0
99,283,159558.3735,384474.0945,1.0,321.4851379,77,110.1706551,64,0
105,293,158034.5183,383661.1724,1.0,313.0400085,77,110.1706551,64,0
106,295,161867.2708,382592.7026,1.0,291.1600037,207,197.6820818,190,0
113,320,164099.4247,382992.2593,1.0,271.1599121,207,197.6820818,190,0
116,324,163330.9921,383260.1063,1.0,338.4944458,207,197.6820818,190,0
117,325,160423.0076,387802.3017,1.0,278.3008423,207,197.6820818,190,0
119,330,160694.8797,386708.6373,1.0,301.8999939,111,121.8170066,109,0
123,349,161533.5285,387674.96,1.0,329.3635864,207,197.6820818,190,0
125,351,159642.5725,384260.533,1.0,269.0359802,111,121.8170066,109,0
126,356,162739.9118,387620.4526,1.0,317.4400024,207,197.6820818,190,0
128,366,160995.9326,385525.938,1.0,273.802887,111,121.8170066,109,0
131,374,164104.8784,383798.2528,1.0,330.1923828,207,197.6820818,190,0
132,376,159145.9528,384368.9339,1.0,327.8600464,77,110.1706551,64,0
134,381,158202.9763,381061.0691,1.0,282.4928589,77,110.1706551,64,0
135,387,160556.4555,381433.8981,1.0,269.5598755,77,110.1706551,64,0
136,390,163732.1471,382953.6606,1.0,232.2144318,207,197.6820818,190,0
139,394,157589.5783,383429.3786,1.0,380.7124634,77,110.1706551,64,0
141,397,162216.6867,387481.978,1.0,303.0401306,207,197.6820818,190,0
147,407,163473.0142,383601.599,1.0,330.5944824,207,197.6820818,190,0
152,415,160312.4814,381902.0501,1.0,335.7064514,77,110.1706551,64,0
